tweets,clean_tweets,likes,time
All distributions are normal distributions. There is no war in Ba Sing Se.,all distributions are normal distributions there is no war in ba sing se,10,2021-10-27 18:06:46+00:00
@LittleKeegs0 What’s the context here?,whats the context here,1,2021-08-24 20:27:38+00:00
@brreeyuh @fro_vo Yes thank you 🙏🏼,vo yes thank you,1,2021-08-13 18:06:14+00:00
@fro_vo Where is the original,vo where is the original,0,2021-08-13 02:28:51+00:00
@PopulismUpdates Based Will Hunting,based will hunting,0,2021-08-06 19:28:56+00:00
@mwags1 @chuuzus Goat,goat,1,2021-07-22 11:35:04+00:00
@E7imon My closet,my closet,0,2021-07-22 05:05:37+00:00
All those nights wearing this jersey to lion finally paid off,all those nights wearing this jersey to lion finally paid off,10,2021-07-21 03:55:05+00:00
#NewProfilePic https://t.co/Z9MqyHmKYF,#newprofilepic,25,2021-07-21 03:52:15+00:00
@asleep_mendo @MikiSale @Valheimgame The focused primarily on making a good game and holy shit did they succeed,mendo   the focused primarily on making a good game and holy shit did they succeed,2,2021-07-07 23:21:35+00:00
@lexfridman Jordan Peterson,jordan peterson,0,2021-06-22 15:56:45+00:00
@gbrew24 What is this witchcraft https://t.co/D8OGZPs9pO,what is this witchcraft,1,2021-05-27 13:55:51+00:00
@cryptunez Perhaps they have a history for being punished for vulnerability by parents or bullies,perhaps they have a history for being punished for vulnerability by parents or bullies,1,2021-05-24 05:33:21+00:00
Forbes be like: these 6 future trillionaires share their thoughts on who will be the first quadrillionaire,forbes be like: these  future trillionaires share their thoughts on who will be the first quadrillionaire,2,2021-05-01 02:34:52+00:00
@ZamboniZealot Gimme my damn doge money,gimme my damn doge money,1,2021-04-26 22:29:07+00:00
Who will go to Colorado with me,who will go to colorado with me,14,2021-04-24 19:10:09+00:00
@hidingfromhrOPE Deadass impossible sandwiches are good,deadass impossible sandwiches are good,1,2021-04-23 11:28:38+00:00
@E7imon This but unironically,this but unironically,2,2021-04-22 23:08:55+00:00
@hidingfromhrOPE Forbes is OFF ONE recently it’s concerning,forbes is off one recently its concerning,0,2021-04-21 01:36:06+00:00
Pain.,pain,19,2021-03-21 18:19:03+00:00
The gig economy has gone too far https://t.co/Negxe8LH0q,the gig economy has gone too far,10,2021-03-10 00:08:28+00:00
Y’all ever be thinking about SunSetter retractable awnings?,yall ever be thinking about sunsetter retractable awnings,12,2021-03-06 23:17:17+00:00
@EnesKanter @Ibra_official @tokenizedtweets 0xF6DC738a2b244288926bCd9Fd4f7829Ea0509a93,official,0,2021-03-02 20:23:12+00:00
https://t.co/osdBcFuazZ squads with Marco joe and Hibb,squads with marco joe and hibb,2,2021-02-25 04:09:48+00:00
Elon musk is going to change world,elon musk is going to change world,3,2021-02-21 07:46:55+00:00
@brimurphyy We have the unique ability to interface with both generations. We feel the adulting economic struggles of millennials and we can vibe with Z culturally,we have the unique ability to interface with both generations we feel the adulting economic struggles of millennials and we can vibe with z culturally,4,2021-02-16 00:11:42+00:00
Perfect time to buy doge,perfect time to buy doge,12,2021-02-16 00:09:39+00:00
MY MOM JUST BOUGHT DOGE LETS GOOO https://t.co/osdBcFuazZ,my mom just bought doge lets gooo,2,2021-02-11 01:00:29+00:00
https://t.co/osdBcFuazZ we have a nightbot,we have a nightbot,1,2021-02-10 21:12:46+00:00
Guess who’s back https://t.co/jnijanUQOu,guess whos back,0,2021-02-10 03:56:15+00:00
"https://t.co/osdBcFuazZ live once more, to whoever fake donated me 2000 dollars and fooled me and my chat yesterday, reveal who you are, coward",live once more to whoever fake donated me  dollars and fooled me and my chat yesterday reveal who you are coward,7,2021-02-10 01:03:35+00:00
Thank you Quora https://t.co/xFTY6MtyR5,thank you quora,10,2021-01-26 01:47:20+00:00
@JPMajor @physicsJ @MarsCuriosity It’s Dune,its dune,2,2020-12-24 11:27:51+00:00
Me and the boys walking to happy hour https://t.co/JtKPywSkie,me and the boys walking to happy hour,22,2020-12-13 18:48:13+00:00
@PrisonPlanet I’m curious as to what factors you think contribute to the racial wealth gap. I’d love to hear your perspective,im curious as to what factors you think contribute to the racial wealth gap id love to hear your perspective,0,2020-11-03 22:35:15+00:00
Everyone watch The Social Dilemma on Netflix,everyone watch the social dilemma on netflix,4,2020-09-12 20:28:15+00:00
All my homies hate big pharma,all my homies hate big pharma,27,2020-08-30 00:06:28+00:00
@E7imon Those are rookie numbers,those are rookie numbers,3,2020-08-21 22:55:00+00:00
"@besttrousers @nuzzlegun @JHWeissmann Yep, totally agree. I’m only interested in/follow a select few from the IDW and I do wish they were more vocal about economic policy right now.",yep totally agree im only interested in/follow a select few from the idw and i do wish they were more vocal about economic policy right now,1,2020-07-15 17:35:07+00:00
@besttrousers @nuzzlegun @JHWeissmann 1/ Hey there. I think having anything to say about economics/economic policy and commentary about specific current events are two different things. Eric Weinstein has worked on a lot of things related to economics https://t.co/sWuNBthDj0,/ hey there i think having anything to say about economics/economic policy and commentary about specific current events are two different things eric weinstein has worked on a lot of things related to economics,1,2020-07-15 17:19:17+00:00
@Jscott1145 Source?,source,0,2020-07-12 17:40:06+00:00
So sad to announce that Ghislaine Maxwell has tragically passed away 3 days from now,so sad to announce that ghislaine maxwell has tragically passed away  days from now,39,2020-07-02 17:29:30+00:00
‘Collapse of Civilisation is the Most Likely Outcome’: Top Climate Scientists https://t.co/dNh00aOzYy via @postcarbon,collapse of civilisation is the most likely outcome: top climate scientists  via,0,2020-06-10 23:52:39+00:00
@nikbeck9090 You twitter username is the most fitting,you twitter username is the most fitting,0,2020-04-19 05:35:00+00:00
"@ShantaLindelof I used to think something similar, now I love the guy. I would try listening to some with guests you find interesting and see how that goes. Admittedly he does exemplify meathead better than basically anyone, but there have to be other things that makes him so popular",i used to think something similar now i love the guy i would try listening to some with guests you find interesting and see how that goes admittedly he does exemplify meathead better than basically anyone but there have to be other things that makes him so popular,1,2020-04-14 19:34:37+00:00
@E7imon xD,xd,0,2020-04-08 04:28:25+00:00
@ShantaLindelof Point taken,point taken,0,2020-04-08 03:02:32+00:00
@ShantaLindelof There used to be this thing called roflcopter lol,there used to be this thing called roflcopter lol,0,2020-04-07 23:17:35+00:00
Raise your hand if you used to say roflmao unironically,raise your hand if you used to say roflmao unironically,7,2020-04-07 22:55:26+00:00
"@RufusT_Flywheel @annakhachiyan “Bannon was a guest on a prominent leftwing podcast last week (that show shall remain nameless – it’s had more than enough attention as a result of this).” 

??????",flywheel  bannon was a guest on a prominent leftwing podcast last week (that show shall remain nameless  its had more than enough attention as a result of this),5,2020-04-07 15:06:47+00:00
@titizizi2 Ayyyy,ayyyy,1,2020-04-06 22:32:25+00:00
"@1_800_CALL_PFG 3,4,5",callpfg,2,2020-04-06 20:01:43+00:00
@1_800_CALL_PFG You forgot one https://t.co/k0aGhrhUKM,callpfg you forgot one,1,2020-04-06 20:01:11+00:00
When laying in bed before sleep do you use your phone at the *lowest* possible brightness with night mode on?,when laying in bed before sleep do you use your phone at the lowest possible brightness with night mode on,1,2020-04-06 06:35:22+00:00
@1_800_CALL_PFG https://t.co/9w8Ns1QAde,callpfg,5,2020-04-05 17:21:30+00:00
"In recent history the US has done a shit job protecting and serving their most vulnerable segments of the population, and covid shines a light on this phenomenon, sometimes I hate it here",in recent history the us has done a shit job protecting and serving their most vulnerable segments of the population and covid shines a light on this phenomenon sometimes i hate it here,14,2020-04-02 14:36:46+00:00
"The boys in quarantine: 1
Corona: 0 https://t.co/GieYpHR3dD","the boys in quarantine: 
corona:",10,2020-03-22 06:32:00+00:00
@1_800_CALL_PFG https://t.co/wG7mFmbjnm,callpfg,9,2020-03-21 17:43:25+00:00
@RandrAlvarez @BadEconTakes I feel as though this level of aggressiveness towards a gap in understanding isn’t useful,i feel as though this level of aggressiveness towards a gap in understanding isnt useful,1,2020-03-15 22:57:49+00:00
@Ahmadladykiller nice,nice,2,2020-03-03 00:40:52+00:00
"@aydan Question: If i want to play 1080 144hz on a 1440 144hz monitor, does the regular desktop resolution of the monitor have to be set to 1080 before I open the game?",question: if i want to play  hz on a  hz monitor does the regular desktop resolution of the monitor have to be set to  before i open the game,0,2020-02-26 17:11:24+00:00
@RW34MVP @mfitzpatrick007 @Colin_Hoover10 @CTConnolly25 @jalncope @GarretKollar @KvammeRyan @JasonTutton @Hunting_Henry Idk you guys but good luck with the season boys,hoover      henry idk you guys but good luck with the season boys,2,2020-02-13 18:49:29+00:00
"If we elect Barnie Sandlers, half of all markets in the universe will be destroyed",if we elect barnie sandlers half of all markets in the universe will be destroyed,10,2020-02-05 22:45:10+00:00
#NoWarWithIran,#nowarwithiran,8,2020-01-03 08:12:11+00:00
Illinois is a basketball school,illinois is a basketball school,27,2019-12-12 04:16:59+00:00
"cultural impact:

         █          　　
         █　        
         █　        
         █　                           ＿
Big bootie mix            Billboard top 
                                           100","cultural impact:

                   　　
         　        
         　        
         　                           
big bootie mix            billboard top",16,2019-10-22 00:20:03+00:00
@bottomhouse_ Until next Friday,until next friday,1,2019-08-31 11:19:38+00:00
@TheLiamRoth Are you serious is this real,are you serious is this real,4,2019-08-06 23:19:08+00:00
Ladies and gentleman we have liftoff https://t.co/LsgRGeXGK0,ladies and gentleman we have liftoff,2,2019-07-23 04:22:45+00:00
@TheLiamRoth Take your account off of private so people can see that you’re funny,take your account off of private so people can see that youre funny,5,2019-07-23 01:24:55+00:00
@taymarc_ Just a twitter meme idk,just a twitter meme idk,0,2019-07-19 17:17:16+00:00
@joseph_bleyer I said city friends not Joes friends,bleyer i said city friends not joes friends,0,2019-07-19 00:12:25+00:00
@muzzi98 I didn’t want to melt https://t.co/aNXUuEYa7S,i didnt want to melt,1,2019-07-18 21:25:05+00:00
but please do not tell liam roth under any circumstances I’m done listening to him rant about hot girl summer,but please do not tell liam roth under any circumstances im done listening to him rant about hot girl summer,10,2019-07-18 18:02:46+00:00
@ my city friends I’m moving into Chicago tonight hit ya boy up,my city friends im moving into chicago tonight hit ya boy up,14,2019-07-18 17:57:36+00:00
So are people adopting aliens or owning them as pets what’s the deal here,so are people adopting aliens or owning them as pets whats the deal here,19,2019-07-15 23:28:13+00:00
@TheLiamRoth Liam works for the government don’t trust him,liam works for the government dont trust him,1,2019-07-14 17:10:27+00:00
@bellisariosam You were tracking Kony to eliminate him and he was allegedly at a McDonald’s and you were trying to use your whiteclaw drunk to be granted immunity from prosecution,you were tracking kony to eliminate him and he was allegedly at a mcdonalds and you were trying to use your whiteclaw drunk to be granted immunity from prosecution,1,2019-07-11 14:13:13+00:00
@TheLiamRoth Are u Caucasian James,are u caucasian james,3,2019-07-11 02:36:21+00:00
@urdreamegirl I knew you would tweet this,i knew you would tweet this,0,2019-07-10 18:41:16+00:00
@aaronlichtman @TheLiamRoth Solid flex,solid flex,2,2019-07-02 06:20:24+00:00
@taymarc_ Ope,ope,1,2019-07-02 04:03:21+00:00
@E7imon This is a crime,this is a crime,2,2019-06-28 05:31:29+00:00
